Brand,Product,Viscosity,API,ACEA,JASO,VehicleTypes,FuelTypes,minCylinders,maxCylinders,minPower,maxPower,DPFCompatible,TurboCompatible,HybridCompatible,OEMApprovals,Applications,OfficialSource,TDS_URL
Castrol,EDGE 5W-30,5W-30,SP,C3,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,GM dexos1 Gen 3;VW 504 00/507 00;BMW Longlife-04;MB-Approval 229.51,"Passenger cars;SUVs;Light commercial vehicles with DPF",https://www.castrol.com/content/dam/castrol/country-sites-new/en_ca/canada/home/documents/products/our-brands/automotive/castrol,https://www.cassol.ro/docs/(EN)%20Edge%205W-30.pdf
Castrol,EDGE 5W-20,5W-20,SP,GF-6,-,Automobile,Essence,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,GM dexos1 Gen 3;Ford WSS-M2C946-A/B1,"Passenger cars;SUVs;Light vehicles",https://www.castrol.com/content/dam/castrol/country-sites-new/en_ca/canada/home/documents/products/our-brands/automotive/castrol,https://petroleumservicecompany.com/content/pdfs/castrol_edge_5w-20_PDS.pdf
Castrol,MAGNATEC 5W-30,5W-30,SP,GF-6,-,Automobile,Essence,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,GM dexos1 Gen 3;Ford WSS-M2C946-A/B1,"Passenger cars;SUVs;Light commercial vehicles",https://www.castrol.com/content/dam/castrol/country-sites-new/en_ca/canada/home/documents/products/our-brands/automotive/castrol,https://www.castrol.com/content/dam/castrol/country-sites-new/en_ca/canada/home/documents/products/our-brands/automotive/castrol
Castrol,GTX Ultraclean 5W-30,5W-30,SP,GF-6,-,Automobile,Essence,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,ILSAC GF-6,"Passenger cars;SUVs;Light vehicles - sludge protection",https://www.castrol.com/en_ca/canada/home/products/our-brands/automotive/castrol-gtx-oils/castrol-gtx.html,https://shop.sclubricants.com/pub/media/pds/castrol/castrol-gtx-ultraclean-5w-30-pds.pdf
Castrol,EDGE 0W-20,0W-20,SP,GF-6,-,Automobile,Essence;Hybrid,NULL,NULL,NULL,NULL,FALSE,FALSE,TRUE,GM dexos1 Gen 2;Ford WSS-M2C962-A1;Honda;Toyota;Nissan;Mazda;Subaru,"Passenger cars;SUVs;Modern fuel economy engines;Japanese manufacturers;Korean manufacturers",https://www.castrol.com/content/dam/castrol/country-sites-new/en_ca/canada/home/documents/products/our-brands/automotive/castrol,https://www.castrol.com/content/dam/castrol/country-sites-new/en_ca/canada/home/documents/products/our-brands/automotive/castrol
Castrol,EDGE 5W-40 Euro Car,5W-40,SN,C3,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,VW 502.00/505.00;Porsche A40;MB 229.3/226.5;BMW LL-01;Renault RN0700/0710;Fiat 9.55535-G2/N2,"VW Group;Audi;Porsche;Mercedes-Benz;BMW;Renault;Fiat;Alfa Romeo;Lancia;European passenger cars",https://www.castrol.com/en_gb/united-kingdom/home/products/our-brands/automotive/castrol-edge-oils/castrol-edge.html,https://www.castrol.com/en_gb/united-kingdom/home/products/our-brands/automotive/castrol-edge-oils/castrol-edge.html
Castrol,EDGE Turbo Diesel 5W-40,5W-40,NA,C3,-,Automobile;Poids Lourd,Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,VW 505.01;MB 229.31;BMW LL-04;ACEA C3;Fiat 9.55535-S2,"VW PD engines;Mercedes-Benz;BMW;Fiat Group;Turbo diesel passenger cars;Light commercial vehicles;DPF compatible",https://www.castrol.com/en_gb/united-kingdom/home/products/our-brands/automotive/castrol-edge-oils/castrol-edge.html,https://www.castrol.com/en_gb/united-kingdom/home/products/our-brands/automotive/castrol-edge-oils/castrol-edge.html
Castrol,MAGNATEC Stop-Start 5W-20,5W-20,SP,GF-6,-,Automobile,Essence;Hybrid,NULL,NULL,NULL,NULL,FALSE,TRUE,TRUE,GM dexos1 Gen 3;Ford WSS-M2C962-A1;Honda;Toyota;Hyundai;Kia,"Passenger cars;SUVs;Hybrid vehicles;Stop-Start technology;Fuel economy engines;Japanese manufacturers",https://www.castrol.com/content/dam/castrol/country-sites-new/en_ca/canada/home/documents/products/our-brands/automotive/castrol,https://www.castrol.com/content/dam/castrol/country-sites-new/en_ca/canada/home/documents/products/our-brands/automotive/castrol
Castrol,POWER1 4T 10W-40,10W-40,SL,NA,MA2,Moto,Essence,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,JASO MA2,"Motorcycles;Scooters;4-stroke engines;High performance;Wet clutch compatible",https://www.castrol.com/en_in/india/home/products/our-brands/two-wheelers/activ.html,https://apps.ils.co.nz/assets/downloads/SKU%20TDS/3356038.pdf
Castrol,POWER1 2T TTS Racing,NA,NA,NA,NA,Moto,Essence,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,NA,"2-stroke motorcycles;High performance racing;European and Japanese manufacturers;Road and off-road",https://www.castrol.com/en_in/india/home/products/our-brands/two-wheelers/activ.html,https://apps.ils.co.nz/assets/downloads/SKU%20TDS/3356038.pdf
Castrol,EDGE Supercar 5W-20,5W-20,NA,NA,-,Automobile,Essence;E85;Hybrid,NULL,NULL,NULL,NULL,FALSE,TRUE,TRUE,NA,"High performance supercars;Ferrari;Lamborghini;McLaren;Bugatti;Aston Martin;Racing engines;E85 biofuel compatible;Hybrid hypercars",https://www.castrol.com/en_gb/united-kingdom/home/products/our-brands/automotive/castrol-edge-oils/castrol-edge.html,https://www.castrol.com/en_gb/united-kingdom/home/products/our-brands/automotive/castrol-edge-oils/castrol-edge.html
Castrol,POWER1 Racing 4T 10W-50,10W-50,NA,NA,JASO MA2,Moto,Essence,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,JASO MA2,"Racing motorcycles;4-stroke;High performance;Wet clutch;Road racing;Off-road racing;Superbikes;Track use",https://www.castrol.com/en_in/india/home/products/our-brands/two-wheelers/activ.html,https://apps.ils.co.nz/assets/downloads/SKU%20TDS/3356038.pdf
Castrol,POWER1 Racing 2T,NA,NA,NA,NA,Moto,Essence,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,NA,"2-stroke racing motorcycles;High performance;Road racing;Off-road racing;Karting;Water-cooled;Air-cooled",https://www.castrol.com/en_in/india/home/products/our-brands/two-wheelers/activ.html,https://apps.ils.co.nz/assets/downloads/SKU%20TDS/3356038.pdf
Shell,Helix Ultra 5W-40,5W-40,SN/CF,A3/B3;A3/B4,-,Automobile;Moto,Essence;Diesel;LPG,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,BMW LL-01;MB 229.5/226.5;VW 502.00/505.00;Renault RN0700/RN0710,"Passenger cars;SUVs;Light commercial vehicles;Pick-up trucks;Sport-utility vehicles;Motorcycles",https://www.shell.com/motorist/oils-lubricants/helix-for-cars/shell-helix-ultra/shell-helix-ultra-5w-30.html,https://www.epc.shell.com/DocumentRetrieve?documentId=95895254
